product_id,product_name,brand,category,department,sub_department,base_price,unit_of_measure,is_perishable,supplier_id
29,syndicate out-of-the-box ROI,Henry-Taylor,Beauty - Hair Care,Beauty,Hair Care,257.58,oz,False,58
30,aggregate magnetic paradigms,Duran-Smith,Health - Medicine,Health,Medicine,472.81,count,False,94
31,empower transparent e-services,"Powers,",Health - First Aid,Health,First Aid,230.1,count,False,8
32,reinvent visionary e-business,Watts-Delacruz,Beauty - Fragrance,Beauty,Fragrance,214.27,oz,False,63
33,matrix interactive e-commerce,Parsons-Franklin,Beauty - Makeup,Beauty,Makeup,449.82,ml,False,78
34,transition enterprise vortals,Carr-Newton,Clothing - Men,Clothing,Men,64.83,each,False,49
35,expedite robust deliverables,Hayes,Automotive - Electronics,Automotive,Electronics,148.85,oz,False,78
36,matrix interactive deliverables,"Foster,",Sporting Goods - Fitness,Sporting Goods,Fitness,396.95,each,False,84
37,mesh scalable solutions,Gonzales-Wilkerson,Health - Medicine,Health,Medicine,216.16,count,False,53
38,revolutionize front-end bandwidth,Henderson,Toys - Educational,Toys,Educational,200.56,each,False,41
39,redefine scalable deliverables,Ford,Sporting Goods - Team Sports,Sporting Goods,Team Sports,333.21,set,False,20
40,grow e-business mindshare,White,Beauty - Makeup,Beauty,Makeup,47.42,oz,False,12
41,productize global interfaces,Morris-Johnson,Sporting Goods - Fitness,Sporting Goods,Fitness,372.8,set,False,17
42,target 24/365 bandwidth,Wright,Health - Vitamins,Health,Vitamins,294.05,each,False,72
43,visualize granular initiatives,Wilson,Toys - Action Figures,Toys,Action Figures,206.57,set,False,93
44,whiteboard bricks-and-clicks infrastructures,"Zimmerman,",Grocery - Bakery,Grocery,Bakery,300.99,count,True,14
45,re-intermediate granular architectures,"James,",Automotive - Electronics,Automotive,Electronics,107.93,oz,False,62
46,maximize B2C communities,White,Home - Kitchen,Home,Kitchen,176.35,set,False,15
47,streamline next-generation content,Cross-Woodward,Garden - Decor,Garden,Decor,114.62,lb,False,72
48,envisioneer viral initiatives,Horne,Automotive - Electronics,Automotive,Electronics,338.13,oz,False,4
49,re-intermediate dot-com synergies,Jimenez-Jimenez,Automotive - Oil & Fluids,Automotive,Oil & Fluids,16.41,qt,False,90
50,exploit clicks-and-mortar metrics,Young-Chapman,Garden - Outdoor Furniture,Garden,Outdoor Furniture,176.8,each,False,19
51,syndicate ubiquitous e-markets,Miller-Greene,Automotive - Tools,Automotive,Tools,36.64,oz,False,82
52,incentivize efficient e-business,"Grant,",Grocery - Dairy,Grocery,Dairy,373.55,lb,True,49
53,orchestrate leading-edge experiences,Johnson-Nash,Sporting Goods - Water Sports,Sporting Goods,Water Sports,171.76,set,False,40
54,repurpose seamless supply-chains,Williams,Toys - Outdoor,Toys,Outdoor,298.91,each,False,20
55,reinvent granular methodologies,Carr-Holt,Clothing - Accessories,Clothing,Accessories,26.77,each,False,35
56,expedite virtual bandwidth,"Riley,",Beauty - Fragrance,Beauty,Fragrance,243.85,ml,False,54
57,monetize world-class relationships,Wilkins-Chang,Garden - Tools,Garden,Tools,377.95,each,False,45
58,e-enable innovative technologies,Taylor-Neal,Sporting Goods - Fitness,Sporting Goods,Fitness,143.05,pair,False,76
59,empower open-source deliverables,Warren-Dominguez,Beauty - Bath & Body,Beauty,Bath & Body,334.22,oz,False,29
60,re-intermediate leading-edge platforms,"Blair,",Sporting Goods - Winter Sports,Sporting Goods,Winter Sports,29.27,each,False,39
61,syndicate front-end e-commerce,"Abbott,",Home - Bathroom,Home,Bathroom,382.54,set,False,42
62,re-intermediate synergistic channels,"Hart,",Electronics - Computers,Electronics,Computers,249.69,each,False,23
63,synthesize viral e-business,Erickson,Clothing - Shoes,Clothing,Shoes,267.22,each,False,65
64,implement 24/7 web-readiness,Garrett-Wilson,Health - First Aid,Health,First Aid,37.88,each,False,6
65,iterate best-of-breed e-business,Gutierrez-Cook,Sporting Goods - Fitness,Sporting Goods,Fitness,230.95,each,False,41
66,engage killer synergies,"Harris,",Automotive - Tools,Automotive,Tools,287.54,oz,False,82
67,monetize seamless mindshare,"Nguyen,",Sporting Goods - Team Sports,Sporting Goods,Team Sports,59.35,each,False,42
68,facilitate impactful networks,"Choi,",Clothing - Accessories,Clothing,Accessories,231.12,each,False,12
69,e-enable cross-platform methodologies,Hendricks-Robles,Sporting Goods - Fitness,Sporting Goods,Fitness,123.16,pair,False,52
70,visualize global info-mediaries,Burton,Health - Vitamins,Health,Vitamins,199.08,oz,False,96
71,productize open-source bandwidth,Reilly-Brown,Toys - Puzzles,Toys,Puzzles,167.86,each,False,10
72,mesh seamless networks,"Gregory,",Health - Vitamins,Health,Vitamins,266.23,count,False,100
73,maximize open-source convergence,Montes,Toys - Dolls,Toys,Dolls,364.22,each,False,31
74,e-enable proactive supply-chains,Sims-Kirby,Electronics - TVs,Electronics,TVs,129.46,each,False,78
75,maximize integrated ROI,"Wilson,",Clothing - Men,Clothing,Men,90.21,each,False,60
76,iterate turn-key paradigms,Gutierrez-Crawford,Automotive - Electronics,Automotive,Electronics,225.54,oz,False,83
77,incentivize out-of-the-box systems,Robinson-Turner,Automotive - Oil & Fluids,Automotive,Oil & Fluids,432.38,oz,False,41
78,embrace out-of-the-box paradigms,Gentry,Clothing - Shoes,Clothing,Shoes,36.0,each,False,81
79,deliver proactive info-mediaries,"Moore,",Garden - Outdoor Furniture,Garden,Outdoor Furniture,296.52,lb,False,65
80,cultivate extensible vortals,Hammond,Electronics - Phones,Electronics,Phones,231.94,each,False,8
81,transition end-to-end e-tailers,"Johnson,",Toys - Dolls,Toys,Dolls,40.2,each,False,79
82,embrace clicks-and-mortar content,Mcdaniel,Automotive - Electronics,Automotive,Electronics,193.46,oz,False,71
83,cultivate e-business supply-chains,Small-Garcia,Grocery - Meat,Grocery,Meat,454.7,lb,True,42
84,revolutionize extensible web-readiness,"Blake,",Automotive - Tools,Automotive,Tools,251.67,each,False,58
85,aggregate dynamic technologies,Patel-Mejia,Electronics - Phones,Electronics,Phones,491.22,each,False,65
86,repurpose 24/7 niches,Moore,Clothing - Men,Clothing,Men,125.37,each,False,57
87,implement sticky e-tailers,"Bell,",Health - Wellness,Health,Wellness,305.67,oz,False,48
88,unleash front-end networks,Jackson,Garden - Grills,Garden,Grills,205.56,lb,False,87
89,re-intermediate cross-platform users,Williams-Johnson,Automotive - Parts,Automotive,Parts,395.03,oz,False,43
90,productize scalable platforms,Brown-Simmons,Electronics - Phones,Electronics,Phones,49.05,each,False,37
91,reinvent customized e-business,Edwards-Roth,Garden - Decor,Garden,Decor,436.88,lb,False,11
92,unleash strategic bandwidth,"Anderson,",Automotive - Accessories,Automotive,Accessories,458.53,qt,False,84
93,target mission-critical bandwidth,Cohen-Mckinney,Sporting Goods - Camping,Sporting Goods,Camping,298.32,each,False,40
94,target collaborative e-services,Thomas,Health - Personal Care,Health,Personal Care,322.45,oz,False,17
95,morph bricks-and-clicks interfaces,Lyons,Health - Vitamins,Health,Vitamins,323.71,oz,False,66
96,facilitate world-class bandwidth,Johnson-Alvarez,Toys - Action Figures,Toys,Action Figures,182.56,each,False,28
97,seize compelling bandwidth,Campbell,Toys - Educational,Toys,Educational,97.61,each,False,20
98,expedite end-to-end mindshare,Sullivan,Electronics - Phones,Electronics,Phones,422.52,each,False,65
99,generate sticky vortals,"Banks,",Health - Wellness,Health,Wellness,20.79,oz,False,99
100,strategize transparent action-items,"Sanchez,",Automotive - Accessories,Automotive,Accessories,299.42,each,False,21
101,optimize cross-platform e-tailers,"Garza,",Clothing - Accessories,Clothing,Accessories,404.89,each,False,93
102,generate cross-platform users,"Young,",Beauty - Makeup,Beauty,Makeup,206.6,each,False,93
103,re-contextualize holistic initiatives,"Carlson,",Home - Living Room,Home,Living Room,306.07,set,False,30
104,grow virtual content,Jones-Rodriguez,Health - Medicine,Health,Medicine,156.11,oz,False,25
105,transition enterprise vortals,Newman-Brown,Toys - Outdoor,Toys,Outdoor,492.24,set,False,99
106,architect global applications,"Pacheco,",Garden - Grills,Garden,Grills,252.44,lb,False,21
107,grow distributed architectures,"Lane,",Home - Dining,Home,Dining,70.91,set,False,7
108,harness seamless networks,"Torres,",Beauty - Hair Care,Beauty,Hair Care,278.15,oz,False,92
109,redefine cross-media infrastructures,"Smith,",Health - Vitamins,Health,Vitamins,143.95,count,False,35
110,enable distributed markets,Santana-Faulkner,Beauty - Bath & Body,Beauty,Bath & Body,75.37,ml,False,12
111,implement synergistic initiatives,Glenn-Young,Home - Living Room,Home,Living Room,442.54,each,False,54
112,scale impactful functionalities,Joseph-Sullivan,Grocery - Meat,Grocery,Meat,251.99,lb,True,50
113,brand killer web services,Wells,Electronics - Phones,Electronics,Phones,113.81,each,False,13
114,engage integrated relationships,Moore-Bright,Toys - Puzzles,Toys,Puzzles,70.51,set,False,61
115,repurpose end-to-end channels,Jones,Clothing - Shoes,Clothing,Shoes,225.39,each,False,11
116,orchestrate holistic web services,Proctor-Taylor,Grocery - Bakery,Grocery,Bakery,109.39,lb,True,71
117,enable next-generation bandwidth,"Munoz,",Automotive - Electronics,Automotive,Electronics,212.77,qt,False,31
118,deliver cutting-edge schemas,Cruz-Perez,Garden - Plants,Garden,Plants,25.77,lb,False,82
119,brand clicks-and-mortar networks,Bradford-Young,Automotive - Tools,Automotive,Tools,33.27,qt,False,77
120,deliver real-time e-markets,"Johnston,",Health - Vitamins,Health,Vitamins,316.7,each,False,31
121,syndicate out-of-the-box initiatives,"Olson,",Clothing - Children,Clothing,Children,215.75,each,False,31
122,drive efficient bandwidth,"Miller,",Automotive - Tools,Automotive,Tools,95.27,oz,False,11
123,syndicate intuitive methodologies,"Ryan,",Health - First Aid,Health,First Aid,35.69,each,False,70
124,productize cross-platform users,Harrison,Health - Wellness,Health,Wellness,277.96,oz,False,61
125,productize collaborative networks,"Rivera,",Grocery - Meat,Grocery,Meat,490.55,count,True,96
126,envisioneer distributed communities,Neal,Grocery - Bakery,Grocery,Bakery,394.67,count,True,31
127,extend seamless networks,Brown-Kennedy,Electronics - Gaming,Electronics,Gaming,368.11,each,False,18
128,leverage scalable web services,Lamb-Weber,Grocery - Bakery,Grocery,Bakery,273.9,lb,True,100
129,envisioneer holistic infrastructures,Wagner,Beauty - Fragrance,Beauty,Fragrance,316.59,oz,False,9
130,morph end-to-end e-business,Hill-Scott,Beauty - Makeup,Beauty,Makeup,148.12,oz,False,26
131,extend one-to-one metrics,Kent,Grocery - Bakery,Grocery,Bakery,466.81,gal,True,70
132,orchestrate customized relationships,Green,Beauty - Hair Care,Beauty,Hair Care,20.23,each,False,25
133,incentivize holistic ROI,"Atkins,",Garden - Outdoor Furniture,Garden,Outdoor Furniture,431.33,each,False,84
134,orchestrate B2C models,Townsend-Young,Toys - Dolls,Toys,Dolls,63.98,set,False,56
135,grow frictionless e-tailers,"Navarro,",Sporting Goods - Water Sports,Sporting Goods,Water Sports,447.52,set,False,44
136,engineer one-to-one markets,Marshall,Clothing - Shoes,Clothing,Shoes,346.64,each,False,67
137,monetize collaborative users,James,Garden - Plants,Garden,Plants,364.08,each,False,56
138,synergize collaborative portals,Moreno,Automotive - Accessories,Automotive,Accessories,273.64,qt,False,14
139,implement front-end systems,Gregory-Nixon,Electronics - Phones,Electronics,Phones,331.13,each,False,58
140,innovate revolutionary platforms,"Walsh,",Automotive - Tools,Automotive,Tools,84.98,qt,False,45
141,redefine real-time supply-chains,Adams-Garcia,Beauty - Makeup,Beauty,Makeup,363.94,ml,False,79
142,visualize impactful bandwidth,"Curry,",Sporting Goods - Team Sports,Sporting Goods,Team Sports,320.45,each,False,10
143,aggregate cross-platform methodologies,"Kaiser,",Sporting Goods - Team Sports,Sporting Goods,Team Sports,257.51,pair,False,87
144,implement innovative synergies,Davis-Garcia,Clothing - Men,Clothing,Men,73.09,each,False,5
145,grow cross-media e-services,"Campbell,",Clothing - Men,Clothing,Men,119.52,each,False,47
146,evolve leading-edge metrics,"Shannon,",Sporting Goods - Winter Sports,Sporting Goods,Winter Sports,18.12,each,False,87
147,embrace 24/7 infrastructures,"Anderson,",Beauty - Hair Care,Beauty,Hair Care,187.25,oz,False,74
148,maximize viral initiatives,"Lopez,",Clothing - Accessories,Clothing,Accessories,184.73,each,False,84
149,optimize ubiquitous niches,Schwartz-Contreras,Garden - Tools,Garden,Tools,480.33,each,False,95
150,revolutionize world-class portals,Norman,Clothing - Shoes,Clothing,Shoes,259.83,each,False,34
151,revolutionize leading-edge architectures,Cook-Brown,Garden - Grills,Garden,Grills,108.85,gal,False,37
152,transition back-end ROI,Jones-Krause,Beauty - Skincare,Beauty,Skincare,63.06,oz,False,58
153,aggregate impactful ROI,"Vasquez,",Clothing - Shoes,Clothing,Shoes,498.63,each,False,86
154,architect sticky systems,"Green,",Toys - Action Figures,Toys,Action Figures,275.89,set,False,39
155,drive dot-com systems,Mosley,Clothing - Women,Clothing,Women,397.25,each,False,16
156,visualize clicks-and-mortar paradigms,"Myers,",Home - Bathroom,Home,Bathroom,119.88,set,False,4
157,strategize clicks-and-mortar mindshare,"Case,",Toys - Outdoor,Toys,Outdoor,286.98,set,False,71
158,iterate innovative users,Smith,Clothing - Accessories,Clothing,Accessories,442.34,each,False,40
159,transition compelling initiatives,"Nichols,",Sporting Goods - Water Sports,Sporting Goods,Water Sports,263.79,set,False,74
160,monetize wireless markets,"Shea,",Electronics - TVs,Electronics,TVs,486.24,each,False,58
161,iterate cross-platform infrastructures,Hodges-Roberts,Beauty - Bath & Body,Beauty,Bath & Body,173.56,each,False,82
162,aggregate virtual schemas,Ponce,Automotive - Accessories,Automotive,Accessories,384.35,each,False,56
163,aggregate seamless architectures,Mccoy,Health - Vitamins,Health,Vitamins,416.02,each,False,20
164,synthesize strategic functionalities,Moss-Taylor,Garden - Tools,Garden,Tools,82.65,gal,False,29
165,aggregate proactive applications,Burns,Toys - Outdoor,Toys,Outdoor,447.66,each,False,33
166,generate extensible models,"Hanna,",Home - Dining,Home,Dining,138.67,set,False,79
167,utilize robust supply-chains,Morgan,Health - Vitamins,Health,Vitamins,252.27,count,False,76
168,integrate wireless initiatives,Roman,Automotive - Accessories,Automotive,Accessories,87.25,oz,False,93
169,mesh ubiquitous methodologies,"Hernandez,",Automotive - Oil & Fluids,Automotive,Oil & Fluids,421.57,oz,False,6
170,integrate B2B models,"Smith,",Grocery - Dairy,Grocery,Dairy,24.63,count,True,84
171,incentivize end-to-end synergies,Chen,Home - Dining,Home,Dining,209.45,each,False,64
172,transition mission-critical bandwidth,"Jackson,",Health - First Aid,Health,First Aid,321.66,oz,False,62
173,transform one-to-one models,"Lloyd,",Home - Living Room,Home,Living Room,150.11,each,False,89
174,brand cross-platform methodologies,Nguyen-Daugherty,Grocery - Produce,Grocery,Produce,220.91,gal,True,60
175,maximize global vortals,Duran,Home - Bedroom,Home,Bedroom,304.11,set,False,92
176,reinvent open-source partnerships,Hill,Toys - Dolls,Toys,Dolls,487.73,each,False,98
177,leverage out-of-the-box schemas,Gonzales,Toys - Outdoor,Toys,Outdoor,281.69,set,False,31
178,integrate global platforms,"Salazar,",Beauty - Makeup,Beauty,Makeup,135.19,oz,False,19
179,synthesize strategic synergies,White,Electronics - Computers,Electronics,Computers,146.52,each,False,79
180,unleash front-end e-markets,"Aguirre,",Sporting Goods - Camping,Sporting Goods,Camping,481.41,each,False,42
181,architect B2B functionalities,Mills-Jenkins,Automotive - Oil & Fluids,Automotive,Oil & Fluids,96.53,each,False,64
182,reinvent robust metrics,Love,Health - Personal Care,Health,Personal Care,250.37,oz,False,64
183,evolve seamless convergence,Smith-Young,Grocery - Dairy,Grocery,Dairy,472.72,gal,True,31
184,embrace mission-critical e-business,Huffman-Hatfield,Home - Dining,Home,Dining,177.73,each,False,37
185,deliver magnetic bandwidth,"Hopkins,",Beauty - Bath & Body,Beauty,Bath & Body,441.4,each,False,87
186,generate B2C methodologies,Jimenez-Moore,Beauty - Hair Care,Beauty,Hair Care,269.26,oz,False,56
187,re-contextualize revolutionary markets,"Diaz,",Clothing - Children,Clothing,Children,364.29,each,False,47
188,re-intermediate ubiquitous paradigms,Yang,Grocery - Meat,Grocery,Meat,27.47,lb,True,47
189,reinvent granular web-readiness,Robertson-Jones,Health - First Aid,Health,First Aid,38.61,each,False,58
190,incentivize visionary applications,"Nguyen,",Health - First Aid,Health,First Aid,413.0,each,False,88
191,harness bleeding-edge initiatives,Perez-Young,Automotive - Parts,Automotive,Parts,66.06,each,False,51
192,deploy 24/365 architectures,Jones,Toys - Dolls,Toys,Dolls,279.79,set,False,97
193,synthesize scalable e-commerce,Robinson,Clothing - Women,Clothing,Women,302.02,each,False,65
194,target virtual architectures,Taylor-Cortez,Grocery - Dairy,Grocery,Dairy,21.37,count,True,61
195,whiteboard synergistic niches,Rogers,Health - Personal Care,Health,Personal Care,76.16,each,False,18
196,scale leading-edge niches,Rodriguez,Toys - Outdoor,Toys,Outdoor,160.62,set,False,79
197,target next-generation communities,Robinson-Phillips,Garden - Decor,Garden,Decor,169.5,gal,False,69
198,leverage frictionless networks,"Wyatt,",Beauty - Bath & Body,Beauty,Bath & Body,151.29,oz,False,48
199,synthesize killer applications,Hood-Ramirez,Toys - Action Figures,Toys,Action Figures,489.98,set,False,93
200,drive cutting-edge action-items,Murphy,Grocery - Frozen,Grocery,Frozen,238.34,lb,False,93
201,enhance B2C networks,Butler,Grocery - Frozen,Grocery,Frozen,241.25,gal,False,19
202,integrate collaborative mindshare,Simmons,Home - Kitchen,Home,Kitchen,287.13,each,False,25
203,syndicate mission-critical systems,Allen-Hansen,Grocery - Meat,Grocery,Meat,158.21,lb,True,53
204,implement transparent e-tailers,Howard,Home - Living Room,Home,Living Room,251.9,set,False,95
205,visualize e-business web-readiness,Caldwell-Martin,Grocery - Produce,Grocery,Produce,260.29,count,True,85
206,target proactive bandwidth,Ingram-Sawyer,Beauty - Bath & Body,Beauty,Bath & Body,189.65,oz,False,59
207,strategize viral relationships,"Marshall,",Health - First Aid,Health,First Aid,274.03,each,False,99
208,optimize integrated supply-chains,"Johnson,",Garden - Decor,Garden,Decor,243.11,each,False,36
209,re-intermediate best-of-breed methodologies,Oliver,Health - First Aid,Health,First Aid,113.97,oz,False,99
210,extend leading-edge mindshare,"Cox,",Garden - Tools,Garden,Tools,345.73,lb,False,41
211,target revolutionary relationships,Thompson-Hansen,Beauty - Hair Care,Beauty,Hair Care,281.11,each,False,36
212,optimize best-of-breed channels,Allen-Wilson,Garden - Plants,Garden,Plants,287.58,gal,False,49
213,syndicate best-of-breed e-services,Gomez-Adams,Sporting Goods - Team Sports,Sporting Goods,Team Sports,477.39,each,False,38
214,innovate cutting-edge niches,Brown,Grocery - Bakery,Grocery,Bakery,477.74,oz,True,45
215,grow holistic mindshare,"Gallegos,",Beauty - Hair Care,Beauty,Hair Care,374.16,oz,False,26
216,transition distributed systems,"Richardson,",Health - First Aid,Health,First Aid,466.64,each,False,35
217,matrix innovative solutions,Miller-Myers,Clothing - Men,Clothing,Men,308.6,each,False,32
218,reinvent front-end partnerships,Martin,Grocery - Frozen,Grocery,Frozen,114.37,lb,False,7
219,scale B2B models,Golden,Electronics - Audio,Electronics,Audio,166.48,each,False,13
220,whiteboard vertical technologies,Montes-Weaver,Clothing - Men,Clothing,Men,482.32,each,False,53
221,enable collaborative convergence,Wallace-Newman,Beauty - Fragrance,Beauty,Fragrance,325.96,ml,False,42
222,envisioneer dynamic partnerships,Wiggins,Garden - Plants,Garden,Plants,454.14,each,False,84
223,e-enable open-source e-markets,"Cooper,",Automotive - Accessories,Automotive,Accessories,268.5,oz,False,5
224,benchmark visionary bandwidth,Bradley-Villanueva,Clothing - Shoes,Clothing,Shoes,441.35,each,False,5
225,monetize frictionless portals,Washington,Sporting Goods - Water Sports,Sporting Goods,Water Sports,94.77,pair,False,38
226,revolutionize scalable eyeballs,Mitchell-Huber,Grocery - Dairy,Grocery,Dairy,150.59,oz,True,43
227,re-intermediate granular users,White-Thompson,Garden - Grills,Garden,Grills,494.56,gal,False,68
228,unleash B2C communities,Wilson,Beauty - Skincare,Beauty,Skincare,425.82,ml,False,35
229,maximize end-to-end systems,Wood-Harris,Home - Kitchen,Home,Kitchen,166.67,set,False,83
230,unleash robust web services,Spence-Hernandez,Garden - Tools,Garden,Tools,9.0,lb,False,38
231,grow granular users,Martinez-Johnson,Automotive - Accessories,Automotive,Accessories,89.39,oz,False,52
232,re-contextualize rich eyeballs,Reilly-Moore,Sporting Goods - Winter Sports,Sporting Goods,Winter Sports,165.3,set,False,86
233,extend open-source experiences,"Phillips,",Electronics - TVs,Electronics,TVs,490.87,each,False,42
234,engineer B2B networks,"Meadows,",Home - Kitchen,Home,Kitchen,131.86,each,False,58
235,drive compelling paradigms,Gregory,Garden - Outdoor Furniture,Garden,Outdoor Furniture,152.36,gal,False,74
236,monetize proactive interfaces,"Randall,",Grocery - Bakery,Grocery,Bakery,327.52,lb,True,8
237,streamline dynamic applications,"Walker,",Electronics - Audio,Electronics,Audio,154.78,each,False,88
238,utilize strategic users,Rhodes-Rosario,Health - First Aid,Health,First Aid,345.75,each,False,38
239,deliver impactful solutions,Stewart-Jacobs,Toys - Outdoor,Toys,Outdoor,111.97,each,False,62
240,streamline bricks-and-clicks interfaces,Baldwin,Clothing - Shoes,Clothing,Shoes,374.36,each,False,54
241,disintermediate integrated relationships,Mitchell,Health - Personal Care,Health,Personal Care,379.15,each,False,28
242,monetize customized schemas,Lewis,Home - Dining,Home,Dining,436.81,each,False,68
243,extend next-generation systems,Martin-Luna,Beauty - Bath & Body,Beauty,Bath & Body,352.47,oz,False,73
244,productize cutting-edge e-markets,Houston,Electronics - Computers,Electronics,Computers,414.72,each,False,74
245,evolve B2B e-tailers,Wells-Dillon,Health - Medicine,Health,Medicine,83.93,each,False,57
246,facilitate innovative applications,Davis-Ortiz,Electronics - TVs,Electronics,TVs,359.02,each,False,12
247,redefine real-time e-markets,Peters,Health - Personal Care,Health,Personal Care,404.72,oz,False,17
248,maximize global solutions,Collier,Health - Personal Care,Health,Personal Care,229.48,count,False,72
249,engage holistic paradigms,Davenport-Torres,Beauty - Hair Care,Beauty,Hair Care,362.18,ml,False,33
250,engage plug-and-play e-services,Moody,Grocery - Produce,Grocery,Produce,289.99,oz,True,55
251,morph seamless functionalities,"Kennedy,",Toys - Action Figures,Toys,Action Figures,271.49,each,False,9
252,deploy virtual models,"Newman,",Beauty - Makeup,Beauty,Makeup,144.96,oz,False,99
253,synthesize innovative metrics,"Cox,",Clothing - Shoes,Clothing,Shoes,188.47,each,False,58
254,morph collaborative initiatives,Hunt-Johnston,Sporting Goods - Water Sports,Sporting Goods,Water Sports,41.95,pair,False,70
255,iterate back-end communities,"Brown,",Clothing - Children,Clothing,Children,61.07,each,False,68
256,enable synergistic communities,Nelson,Clothing - Women,Clothing,Women,417.73,each,False,39
257,whiteboard synergistic markets,Carter-Fowler,Beauty - Bath & Body,Beauty,Bath & Body,213.21,ml,False,30
258,optimize dynamic functionalities,Duran,Home - Living Room,Home,Living Room,174.38,set,False,25
259,engineer frictionless users,Brennan-Serrano,Electronics - Computers,Electronics,Computers,405.11,each,False,79
260,innovate seamless niches,"Wolfe,",Grocery - Produce,Grocery,Produce,104.62,oz,True,77
261,seize B2B synergies,Holmes,Grocery - Meat,Grocery,Meat,299.69,oz,True,32
262,revolutionize holistic e-markets,Mccall-Martin,Grocery - Meat,Grocery,Meat,220.59,lb,True,97
263,architect B2C mindshare,Decker,Grocery - Produce,Grocery,Produce,252.93,count,True,30
264,re-intermediate one-to-one e-markets,Moon-Wilson,Automotive - Oil & Fluids,Automotive,Oil & Fluids,289.57,oz,False,42
265,enable vertical info-mediaries,Collins-Cox,Home - Bedroom,Home,Bedroom,438.37,each,False,53
266,transition visionary metrics,"Gallagher,",Garden - Outdoor Furniture,Garden,Outdoor Furniture,32.35,gal,False,95
267,utilize 24/7 e-services,Vincent,Clothing - Shoes,Clothing,Shoes,278.8,each,False,45
268,scale bleeding-edge content,Clark,Sporting Goods - Winter Sports,Sporting Goods,Winter Sports,160.72,set,False,53
269,brand one-to-one partnerships,Hampton,Clothing - Children,Clothing,Children,189.47,each,False,31
270,integrate 24/365 platforms,Mcguire,Home - Bedroom,Home,Bedroom,429.05,each,False,60
271,benchmark leading-edge info-mediaries,Kerr,Grocery - Frozen,Grocery,Frozen,207.5,gal,False,72
272,optimize seamless web services,Webster,Health - Medicine,Health,Medicine,195.42,oz,False,27
273,redefine best-of-breed applications,Lopez,Toys - Action Figures,Toys,Action Figures,461.26,set,False,12
274,utilize e-business eyeballs,"Mcmahon,",Health - Medicine,Health,Medicine,27.66,oz,False,87
275,leverage web-enabled mindshare,"Jones,",Automotive - Electronics,Automotive,Electronics,21.68,each,False,25
276,mesh killer solutions,Jackson-Webster,Automotive - Electronics,Automotive,Electronics,110.06,each,False,43
277,implement mission-critical e-tailers,"York,",Garden - Plants,Garden,Plants,107.47,each,False,95
